model,n,trial,height,width_internal,avg_leaf_depth,left_subtree_size,internal_count,leaf_count,gen_time_ms
remy_lineaire,10000,1,277,102,148.623538,9998,10000,10001,1.353
abr,10000,1,28,1202,16.202380,5201,10000,10001,0.387
remy_lineaire,10000,2,265,99,143.412559,9997,10000,10001,0.753
abr,10000,2,31,965,17.304870,7028,10000,10001,0.302
remy_lineaire,10000,3,293,87,162.735026,0,10000,10001,0.388
abr,10000,3,33,927,18.006599,4122,10000,10001,0.378
remy_lineaire,10000,4,299,87,155.028797,5,10000,10001,0.484
abr,10000,4,30,1037,17.922008,4205,10000,10001,0.302
remy_lineaire,10000,5,320,83,196.711129,9999,10000,10001,0.411
abr,10000,5,30,1081,16.810119,3441,10000,10001,0.319
remy_lineaire,10000,6,267,88,133.845915,0,10000,10001,0.505
abr,10000,6,31,1008,17.030397,5980,10000,10001,0.390
remy_lineaire,10000,7,296,115,149.600440,9965,10000,10001,0.392
abr,10000,7,30,969,17.601040,5224,10000,10001,0.356
remy_lineaire,10000,8,302,95,144.310269,9999,10000,10001,0.362
abr,10000,8,31,1054,17.872513,9909,10000,10001,0.334
remy_lineaire,10000,9,299,97,160.765823,2,10000,10001,0.422
abr,10000,9,34,953,18.255074,1237,10000,10001,0.433
remy_lineaire,10000,10,311,85,135.252975,9913,10000,10001,0.434
abr,10000,10,32,1034,17.297570,1309,10000,10001,0.303
remy_lineaire,20000,1,336,172,199.949353,0,20000,20001,1.852
abr,20000,1,37,1945,18.774561,16036,20000,20001,0.695
remy_lineaire,20000,2,532,109,281.693015,1,20000,20001,2.337
abr,20000,2,34,2021,18.622319,9272,20000,20001,0.736
remy_lineaire,20000,3,322,135,166.324534,19999,20000,20001,1.990
abr,20000,3,35,1829,19.416979,3915,20000,20001,0.770
remy_lineaire,20000,4,649,98,369.733013,12,20000,20001,1.781
abr,20000,4,35,1993,18.541073,5135,20000,20001,1.391
remy_lineaire,20000,5,630,91,355.676266,19999,20000,20001,1.958
abr,20000,5,34,2049,19.766312,13259,20000,20001,0.721
remy_lineaire,20000,6,593,93,331.111294,19999,20000,20001,1.965
abr,20000,6,34,1746,20.611319,1626,20000,20001,1.801
remy_lineaire,20000,7,466,127,253.038748,19997,20000,20001,2.809
abr,20000,7,36,1999,18.818709,8869,20000,20001,0.698
remy_lineaire,20000,8,670,113,409.612019,19999,20000,20001,2.001
abr,20000,8,35,1822,19.023699,13450,20000,20001,1.408
remy_lineaire,20000,9,541,109,311.984051,0,20000,20001,1.902
abr,20000,9,42,1594,21.309285,1358,20000,20001,0.699
